date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260430,下関,1,予選,雨,7,2,2,1,6,4822,百武　　　翔,,,,,,1.494,6-1-4,54940,86,6-1,4630,15,1-4-6,3500,13,1-6,780,4
20260430,下関,1,予選,雨,7,2,2,2,1,4041,小林　　基樹,,,,,,1.507,6-1-4,54940,86,6-1,4630,15,1-4-6,3500,13,1-6,780,4
20260430,下関,1,予選,雨,7,2,2,3,4,5375,庄島　　潤成,,,,,,1.528,6-1-4,54940,86,6-1,4630,15,1-4-6,3500,13,1-6,780,4
20260430,下関,1,予選,雨,7,2,2,4,3,3224,栗山　　繁洋,,,,,,1.543,6-1-4,54940,86,6-1,4630,15,1-4-6,3500,13,1-6,780,4
20260430,下関,1,予選,雨,7,2,2,5,5,4271,川崎　　公靖,,,,,,,6-1-4,54940,86,6-1,4630,15,1-4-6,3500,13,1-6,780,4
20260430,下関,1,予選,雨,7,2,2,6,2,5067,山田　　真聖,,,,,,,6-1-4,54940,86,6-1,4630,15,1-4-6,3500,13,1-6,780,4
20260430,下関,2,予選,雨,7,2,2,1,2,4323,山田　　佑樹,,,,,,1.488,2-1-3,2120,7,2-1,1210,4,1-2-3,300,1,1-2,300,2
20260430,下関,2,予選,雨,7,2,2,2,1,5106,山崎　　　祥,,,,,,1.499,2-1-3,2120,7,2-1,1210,4,1-2-3,300,1,1-2,300,2
20260430,下関,2,予選,雨,7,2,2,3,3,4158,木場　雄二郎,,,,,,1.520,2-1-3,2120,7,2-1,1210,4,1-2-3,300,1,1-2,300,2
20260430,下関,2,予選,雨,7,2,2,4,4,5336,瀬川　　大地,,,,,,1.531,2-1-3,2120,7,2-1,1210,4,1-2-3,300,1,1-2,300,2
20260430,下関,2,予選,雨,7,2,2,5,5,4336,松田　　竜馬,,,,,,,2-1-3,2120,7,2-1,1210,4,1-2-3,300,1,1-2,300,2
20260430,下関,2,予選,雨,7,2,2,6,6,5387,戸田　海咲音,,,,,,,2-1-3,2120,7,2-1,1210,4,1-2-3,300,1,1-2,300,2
20260430,下関,3,予選,雨,7,2,2,1,1,4567,上村　慎太郎,,,,,,1.494,1-2-3,1070,2,1-2,890,6,1-2-3,210,1,1-2,680,2
20260430,下関,3,予選,雨,7,2,2,2,2,4871,菊池　　宏志,,,,,,1.505,1-2-3,1070,2,1-2,890,6,1-2-3,210,1,1-2,680,2
20260430,下関,3,予選,雨,7,2,2,3,3,4064,原田　　篤志,,,,,,1.513,1-2-3,1070,2,1-2,890,6,1-2-3,210,1,1-2,680,2
20260430,下関,3,予選,雨,7,2,2,4,4,3878,胡本　　悟志,,,,,,1.535,1-2-3,1070,2,1-2,890,6,1-2-3,210,1,1-2,680,2
20260430,下関,3,予選,雨,7,2,2,5,5,4014,片岡　　恵里,,,,,,,1-2-3,1070,2,1-2,890,6,1-2-3,210,1,1-2,680,2
20260430,下関,3,予選,雨,7,2,2,6,6,5397,寺田　　夢生,,,,,,,1-2-3,1070,2,1-2,890,6,1-2-3,210,1,1-2,680,2
20260430,下関,4,予選,雨,7,2,2,1,3,5058,前原　　大道,,,,,,1.474,3-2-1,1180,6,3-2,740,5,1-2-3,150,1,2-3,210,1
20260430,下関,4,予選,雨,7,2,2,2,2,4264,長尾　　章平,,,,,,1.498,3-2-1,1180,6,3-2,740,5,1-2-3,150,1,2-3,210,1
20260430,下関,4,予選,雨,7,2,2,3,1,4425,大井　　清貴,,,,,,1.524,3-2-1,1180,6,3-2,740,5,1-2-3,150,1,2-3,210,1
20260430,下関,4,予選,雨,7,2,2,4,6,4263,武重　　雄介,,,,,,1.540,3-2-1,1180,6,3-2,740,5,1-2-3,150,1,2-3,210,1
