date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20260622,びわこ,1,予選,曇り,南西,1,1,1,1,5323,香 川 陽 太,73,27,6.80,1,0.07,1.50.8,1-3-2,1110,2,1-3,420,1,1-2-3,390,1,1-3,330,1,,,,,,,
20260622,びわこ,1,予選,曇り,南西,1,1,2,3,4498,宮 本 夏 樹,21,31,6.72,3,0.14,1.52.1,1-3-2,1110,2,1-3,420,1,1-2-3,390,1,1-3,330,1,,,,,,,
20260622,びわこ,1,予選,曇り,南西,1,1,3,2,3701,大 西 隆 洋,35,44,6.75,2,0.12,1.53.7,1-3-2,1110,2,1-3,420,1,1-2-3,390,1,1-3,330,1,,,,,,,
20260622,びわこ,1,予選,曇り,南西,1,1,4,4,4139,丹 下 健,53,63,6.75,4,0.24,1.54.9,1-3-2,1110,2,1-3,420,1,1-2-3,390,1,1-3,330,1,,,,,,,
20260622,びわこ,1,予選,曇り,南西,1,1,5,5,3891,谷 口 健 一,65,20,6.72,5,0.18,,1-3-2,1110,2,1-3,420,1,1-2-3,390,1,1-3,330,1,,,,,,,
20260622,びわこ,1,予選,曇り,南西,1,1,6,6,4843,深 尾 巴 恵,66,56,6.70,6,0.22,,1-3-2,1110,2,1-3,420,1,1-2-3,390,1,1-3,330,1,,,,,,,
20260622,びわこ,2,予選,曇り,北西,1,1,1,5,3503,堂 原 洋 史,11,22,6.74,5,0.06,1.51.3,5-3-1,36860,60,5-3,13180,21,1-3-5,1710,6,3-5,3720,7,,,,,,,
20260622,びわこ,2,予選,曇り,北西,1,1,2,3,4155,長 野 壮志郎,20,43,6.64,3,0.14,1.51.9,5-3-1,36860,60,5-3,13180,21,1-3-5,1710,6,3-5,3720,7,,,,,,,
20260622,びわこ,2,予選,曇り,北西,1,1,3,1,5156,坂 野 さくら,60,39,6.69,1,0.12,1.53.6,5-3-1,36860,60,5-3,13180,21,1-3-5,1710,6,3-5,3720,7,,,,,,,
20260622,びわこ,2,予選,曇り,北西,1,1,4,4,3869,井 芹 大 志,58,71,6.77,4,0.26,1.53.7,5-3-1,36860,60,5-3,13180,21,1-3-5,1710,6,3-5,3720,7,,,,,,,
20260622,びわこ,2,予選,曇り,北西,1,1,5,2,5139,大 場 恒 季,51,52,6.64,2,0.14,,5-3-1,36860,60,5-3,13180,21,1-3-5,1710,6,3-5,3720,7,,,,,,,
20260622,びわこ,2,予選,曇り,北西,1,1,6,6,5295,田 上 凜,57,19,6.62,6,0.19,,5-3-1,36860,60,5-3,13180,21,1-3-5,1710,6,3-5,3720,7,,,,,,,
20260622,びわこ,3,予選,曇り,北,2,2,1,5,4643,近 江 翔 吾,56,23,6.70,5,0.17,1.49.4,5-1-3,7380,26,5-1,930,6,1-3-5,1780,7,1-5,800,3,,,,,,,
20260622,びわこ,3,予選,曇り,北,2,2,2,1,3212,亀 本 勇 樹,25,60,6.80,1,0.06,1.51.9,5-1-3,7380,26,5-1,930,6,1-3-5,1780,7,1-5,800,3,,,,,,,
20260622,びわこ,3,予選,曇り,北,2,2,3,3,4666,日 笠 勝 弘,55,12,6.81,3,0.13,1.53.2,5-1-3,7380,26,5-1,930,6,1-3-5,1780,7,1-5,800,3,,,,,,,
20260622,びわこ,3,予選,曇り,北,2,2,4,2,4674,池 田 剛 規,46,59,6.78,2,0.13,1.54.3,5-1-3,7380,26,5-1,930,6,1-3-5,1780,7,1-5,800,3,,,,,,,
20260622,びわこ,3,予選,曇り,北,2,2,5,6,3319,山 崎 義 明,67,33,6.73,6,0.14,,5-1-3,7380,26,5-1,930,6,1-3-5,1780,7,1-5,800,3,,,,,,,
20260622,びわこ,3,予選,曇り,北,2,2,6,4,4400,加 藤 奈 月,22,65,6.87,4,0.30,,5-1-3,7380,26,5-1,930,6,1-3-5,1780,7,1-5,800,3,,,,,,,
20260622,びわこ,4,予選,曇り,西,1,1,1,1,4138,中 井 俊 祐,45,61,6.71,1,0.05,1.50.7,1-3-2,2280,11,1-3,1640,7,1-2-3,510,2,1-3,1010,5,,,,,,,
